token,sentence_no,start,tag
Co-administration,7889,0,O
with,7889,18,O
anticoagulants,7889,23,B-Precipitant
",",7889,37,O
antiplatelets,7889,39,B-Precipitant
",",7889,52,O
or,7889,54,O
NSAIDs,7889,57,B-Precipitant
can,7889,64,O
increase,7889,68,O
risk,7889,77,O
of,7889,82,O
bleeding,7889,85,O
(,7889,94,O
7.1,7889,95,O
),7889,98,O
Decreased,7889,100,O
renal,7889,110,O
function,7889,116,O
can,7889,125,O
occur,7889,129,O
with,7889,135,O
co-administration,7889,140,O
with,7889,158,O
NSAIDs,7889,163,O
(,7889,170,O
7.1,7889,171,O
),7889,174,O
Adenosine,7889,176,O
Dipyridamole,7889,186,O
has,7889,199,O
been,7889,203,O
reported,7889,208,O
to,7889,217,O
increase,7889,220,B-Trigger
the,7889,220,I-Trigger
plasma,7889,220,I-Trigger
levels,7889,220,I-Trigger
and,7889,247,O
cardiovascular,7889,251,O
effects,7889,266,O
of,7889,274,O
adenosine,7889,277,O
.,7889,286,O
Ritonavir,581,0,O
initially,581,10,O
inhibits,581,20,B-Trigger
and,581,20,I-Trigger
later,581,20,I-Trigger
induces,581,20,I-Trigger
CYP3A,581,20,I-Trigger
",",581,53,O
the,581,55,O
enzyme,581,59,O
involved,581,66,O
in,581,75,O
the,581,78,O
metabolism,581,82,O
of,581,93,O
tadalafil,581,96,O
.,581,106,O
Avoid,48,0,O
concomitant,48,6,O
administration,48,18,O
of,48,33,O
XARELTO,48,36,O
with,48,44,O
known,48,49,O
combined,48,55,O
P-gp,48,64,B-Precipitant
and,48,64,I-Precipitant
strong,48,64,I-Precipitant
CYP3A4,48,64,I-Precipitant
inhibitors,48,64,I-Precipitant
(,48,98,O
e.g.,48,100,O
",",48,105,O
ketoconazole,48,107,O
and,48,120,O
ritonavir,48,124,O
),48,134,O
see,48,136,O
Warnings,48,140,O
and,48,149,O
Precautions,48,153,O
(,48,165,O
5.6,48,167,O
),48,171,O
and,48,173,O
Clinical,48,177,O
Pharmacology,48,186,O
(,48,199,O
12.3,48,201,O
),48,206,O
.,48,208,O
