token,sentence_no,start,tag
Co-administration,7889,0,O
with,7889,18,O
anticoagulants,7889,23,O
",",7889,37,O
antiplatelets,7889,39,O
",",7889,52,O
or,7889,54,O
Decreased,7889,100,DB-SpecificInteraction
function,7889,116,DI-SpecificInteraction
Ritonavir,581,0,O
initially,581,10,O
inhibits,581,20,O
and,581,29,O
later,581,33,O
induces,581,39,O
CYP3A,581,47,O
",",581,53,O
the,581,55,O
enzyme,581,59,O
involved,581,66,O
in,581,75,O
the,581,78,O
metabolism,581,82,O
of,581,93,O
tadalafil,581,96,O
.,581,106,O
Avoid,48,0,O
concomitant,48,6,O
administration,48,18,O
of,48,33,O
XARELTO,48,36,O
with,48,44,O
known,48,49,O
combined,48,55,O
P-gp,48,64,O
and,48,69,O
strong,48,73,O
CYP3A4,48,80,O
inhibitors,48,87,O
(,48,98,O
e.g.,48,100,O
",",48,105,O
ketoconazole,48,107,O
and,48,120,O
ritonavir,48,124,O
),48,134,O
see,48,136,O
Warnings,48,140,O
and,48,149,O
Precautions,48,153,O
(,48,165,O
5.6,48,167,O
),48,171,O
and,48,173,O
Clinical,48,177,O
Pharmacology,48,186,O
(,48,199,O
12.3,48,201,O
),48,206,O
.,48,208,O
